,SalePrice,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,YrBuilt,Longitude,Latitude,cluster
3847,340000,1340,0,0,0,2290,1300,950,340,240,1,0,0,140,0,4,0,2,1,1977,-122.1640759,47.2982531,2
3848,729950,1018,0,1505,0,3432,909,909,0,400,0,159,0,0,0,4,1,0,3,2019,-122.1591821,47.4358173,4
3849,856000,1840,0,0,0,1840,0,0,0,580,0,0,0,590,0,3,0,0,2,1957,-122.1182519,47.601389,3
3850,160000,960,0,0,0,960,0,0,0,500,0,80,0,0,0,3,0,0,1,1967,-122.3562978,47.2868502,3
3851,650000,820,500,0,0,1940,820,620,0,0,1,0,0,220,60,4,0,1,2,1908,-122.3263945,47.6942276,0
3852,545000,870,360,0,0,1230,460,0,0,0,1,0,0,0,0,4,0,0,1,1952,-122.3177089,47.7568169,3
3853,550000,1310,0,0,0,1630,1140,320,0,0,0,80,0,0,0,4,1,0,1,1952,-122.240016,47.507274,3
3854,570000,1460,0,0,0,1770,1460,310,0,530,1,170,0,0,0,4,0,0,2,1968,-122.1531516,47.4728841,2
3855,495000,450,0,460,0,910,250,0,250,0,0,0,120,410,0,2,1,0,2,2018,-122.3631752,47.5569135,1
3856,1720000,1750,0,1810,0,3560,0,0,0,620,0,0,0,220,0,4,1,1,1,1976,-122.1593598,47.6413181,4
3857,380000,1540,0,0,0,1540,0,0,0,290,0,0,0,360,0,3,0,0,1,1960,-122.2917273,47.4218253,3
3858,799000,580,0,350,580,1620,310,110,200,0,1,0,150,410,0,3,1,1,1,2017,-122.2984389,47.6199858,1
3859,1150000,1660,0,0,0,2820,1660,1160,360,0,1,0,0,140,0,5,1,1,1,1958,-122.3862134,47.7014391,2
3860,440000,1190,0,0,0,2190,1060,1000,0,290,0,0,0,400,35,4,0,2,0,1954,-122.3192977,47.5000304,2
3861,500000,1150,0,0,0,1150,0,0,0,0,0,0,0,240,0,1,0,0,1,1965,-122.2297295,47.7476945,3
3862,325000,1220,0,0,0,1600,600,380,220,240,1,0,0,0,0,3,0,0,1,1979,-122.1876461,47.3150063,3
3863,1110000,2270,0,0,0,3360,1160,1090,0,560,1,0,0,0,0,4,2,0,2,1963,-122.2058314,47.639509,2
3864,573000,1030,0,750,0,1780,0,0,0,0,0,0,0,0,0,4,0,1,1,1941,-122.3493359,47.7027332,3
3865,350000,1350,0,0,0,2130,1300,780,520,0,1,0,0,0,0,3,1,1,1,1967,-122.369856,47.3112941,2
3866,492000,770,0,0,0,1070,770,300,0,0,0,0,0,0,0,2,0,0,1,1927,-122.313526,47.7090038,3
3867,651000,330,0,330,0,980,320,320,0,0,1,0,60,210,0,2,0,1,1,2018,-122.2963965,47.6084314,1
3868,725000,380,0,460,440,1280,0,0,0,0,0,60,0,400,0,3,1,1,1,2017,-122.2902655,47.6879355,1
3869,414000,1280,0,0,0,1180,0,0,0,0,0,40,0,360,0,3,0,0,1,1958,-122.1808301,47.4581151,3
3870,359000,1010,0,0,0,1010,0,0,0,0,0,0,0,0,0,3,0,0,1,1954,-122.2207375,47.4899152,3
3871,630000,1020,0,0,0,1420,1020,400,0,0,0,0,0,170,0,3,0,0,2,1931,-122.2937973,47.5840193,3
3872,511000,1250,0,0,0,2500,1250,1250,0,0,1,0,0,300,0,3,0,1,1,1957,-122.2619045,47.7621772,2
3873,500000,1050,0,0,0,2060,1010,1010,0,0,0,300,0,0,0,4,1,0,3,1919,-122.3913935,47.5429774,3
3874,1175000,1330,0,1280,0,3370,1310,760,550,0,0,130,0,0,0,5,1,0,3,2014,-122.1292001,47.5666702,4
3875,650000,1020,0,0,0,1320,810,300,0,0,0,0,0,0,0,3,0,0,1,1947,-122.2843398,47.6828632,3
3876,589000,380,0,440,100,1290,370,370,0,0,0,0,0,340,0,2,1,1,1,2018,-122.3508464,47.7035374,1
